number,repository,question,complexity,final_decision
14,react,commit(s) that fixed the bug ticket 10217?,2,CORRECT
15,react,which commit fixed the bug ticket 21442?,2,CORRECT
16,react,Determine the bug(s) that were introduced because of commit hash f912186012f17858b9d25466c658a46e25093941?,2,CORRECT
17,react,what are the bugs caused by commit 2e757790751ab8d165fc4df37e90a59d914c4527?,2,CORRECT
18,react,Determine the percentage of the fixing commits that introduced bugs on Nov. 2013?,3,INCORRECT
19,react,which developer has most number of bugs yet to be fixed?,2,INCORRECT
20,react,How many fixing commits caused bugs on Nov. 2013?,3,INCORRECT
1,vue,how many commits happened in last month?,1,CORRECT
2,vue,what is the latest commit?,1,CORRECT
3,vue,can you tell me the details of the commits between Dec 1st 2023 and Dec 7th 2023?,1,NOT ANSWERED
4,vue,return a commit message on July 31?,1,NOT ANSWERED
5,vue,show me the changes for render.js file?,2,CORRECT
6,vue,give me all the commits for vnode.js file?,2,CORRECT
7,vue,Determine the developers that had the most unfixed bugs?,2,INCORRECT
8,vue,which developer has most number of bugs yet to be fixed?,2,INCORRECT
9,vue,Determine the developers that fixed the most bugs in helpers.js?,3,CORRECT
10,vue,who did most fixed bugs in client.js?,3,CORRECT
11,vue,Determine the files that introduce the most bugs?,2,INCORRECT
12,vue,What are the most buggy files?,2,CORRECT
13,vue,"what are the buggy commits that happened on August 18, 2022?",2,CORRECT
14,vue,"what commits were buggy on May 24, 2022?",2,NOT ANSWERED
15,vue,commit(s) that fixed the bug ticket 12892?,2,CORRECT
16,vue,which commit fixed the bug ticket 11575?,2,CORRECT
17,vue,Determine the bug(s) that were introduced because of commit hash fb93c1be77f12ea1375c5e8b47d168e4d5ceb7be?,2,CORRECT
18,vue,what are the bugs caused by commit c678e3134b927645f79270b52d4d660a7e3654ce?,2,CORRECT
19,vue,Determine the percentage of the fixing commits that introduced bugs on Oct 2017?,3,INCORRECT
20,vue,How many fixing commits caused bugs on Oct 2017?,3,INCORRECT
