number,Repository,question,response,query,label_1,label_2
23,AutoGPT,Determine the percentage of the fixing commits that introduced bugs on July 2023?,The percentage of the fixing commits that introduced bugs in July 2023 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2023-07.*' AND c2.committedDate =~ '2023-07.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
14,AutoGPT,Determine the percentage of the fixing commits that introduced bugs on July 2023?,The percentage of the fixing commits that introduced bugs in July 2023 is 100%.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c.committedDate =~ '2023-07.*'
WITH count(c) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
20,AutoGPT,How many fixing commits caused bugs on July 2023?,None of the fixing commits caused bugs in July 2023. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2023-07-..T..:..:..Z' AND (c)-[:introduced]->(i)
RETURN COUNT(c) AS fixingCommitsCausedBugs
",Incorrect relationship modelling,Misapplied date formatting
15,AutoGPT,How many fixing commits caused bugs on July 2023?,There were no fixing commits that caused bugs in July 2023. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(bug:Issue)
WHERE c.committedDate =~ '2023-07-..T..:..:..Z'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,Misapplied date formatting
24,AutoGPT,How many fixing commits caused bugs on July 2023?,"In July 2023, there were no fixing commits that caused bugs. Can I help with anything else?","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2023-07-..T..:..:..Z' AND i.created_at =~ '2023-07-..T..:..:..Z'
RETURN COUNT(c) AS fixingCommitsCausedBugs
",Incorrect relationship modelling,Misapplied date formatting
10,AutoGPT,How many fixing commits caused bugs on July 2023?,"In July 2023, there were 64 fixing commits that addressed bugs.","cypher
MATCH (c:Commit)-[:fixed]->(:Issue)
WHERE c.committedDate =~ '2023-07-..T..:..:..Z'
RETURN count(c) AS fixingCommits
",Incorrect relationship modelling,Misapplied date formatting
18,AutoGPT,What are the most buggy files?,"The most buggy files are:

1. `pyproject.toml` with 38 bugs
2. `conftest.py` with 35 bugs
3. `ci.yml` with 34 bugs
4. `start_benchmark.py` with 31 bugs
5. `regression_tests.json` with 30 bugs
6. `challenge.py` with 27 bugs
7. `__init__.py` with 27 bugs
8. `README.md` with 26 bugs
9. `agent_interface.py` with 24 bugs
10. `poetry.lock` with 24 bugs","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
7,AutoGPT,What are the most buggy files?,"The most buggy files are:

1. `pyproject.toml` with 38 bugs
2. `conftest.py` with 35 bugs
3. `ci.yml` with 34 bugs
4. `start_benchmark.py` with 31 bugs
5. `regression_tests.json` with 30 bugs
6. `challenge.py` with 27 bugs
7. `__init__.py` with 27 bugs
8. `README.md` with 26 bugs
9. `agent_interface.py` with 24 bugs
10. `poetry.lock` with 24 bugs","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
8,AutoGPT,what are the bugs caused by commit 0a73e391d974996908fb517920cf6c2f62fbf33d?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit {id: '0a73e391d974996908fb517920cf6c2f62fbf33d'})-[:introduced]->(i:Issue {type: 'bug'})
RETURN i
",Misapplied attribute filtering,
17,AutoGPT,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Swifty, with 1 open bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
5,AutoGPT,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Swifty, with 1 open bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
2,AutoGPT,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Swifty, with 1 open bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
22,AutoGPT,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Swifty, with 1 open bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
12,AutoGPT,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is Swifty, with 1 open bug.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
16,Bootstrap,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is XhmikosR, who has 10 open issues.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_issues
ORDER BY open_issues DESC
LIMIT 1
",Incorrect relationship modelling,
2,Bootstrap,Determine the developers that had the most unfixed bugs?,"The developer with the most unfixed bugs is XhmikosR, with a total of 10 unfixed bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
6,Bootstrap,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
20,Bootstrap,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
11,Bootstrap,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
21,Bootstrap,Determine the files that introduce the most bugs?,"The files that introduce the most bugs are:

- `package-lock.json` with 14 bugs
- `package.json` with 14 bugs
- `CONTRIBUTING.md` with 14 bugs
- `_functions.scss` with 14 bugs
- `_variables.scss` with 14 bugs
- `_visually-hidden.scss` with 14 bugs
- `carousel.md` with 14 bugs
- `accessibility.md` with 14 bugs
- `migration.md` with 14 bugs
- `dropdowns.md` with 14 bugs

Can I help with anything else?","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:introduced]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
",Incorrect relationship modelling,
25,Bootstrap,Determine the percentage of the fixing commits that introduced bugs on December 2013?,The percentage of the fixing commits that introduced bugs in December 2013 is 100.0%.,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2013-12-.*'
RETURN (count(c) * 1.0 / count(c2)) * 100 AS fixingCommitPercentage
",Incorrect relationship modelling,Faulty arithmetic logic
24,Bootstrap,Determine the percentage of the fixing commits that introduced bugs on December 2013?,The percentage of the fixing commits that introduced bugs in December 2013 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)-[:introduced]-(c2:Commit)
WHERE c2.committedDate =~ '2013-12-..T..:..:..Z'
RETURN (count(c1) * 1.0 / count(c2)) * 100 AS fixingCommitPercentage
",Incorrect relationship modelling,Misapplied date formatting
31,Bootstrap,Determine the percentage of the fixing commits that introduced bugs on December 2013?,I don't know. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2013-12.*' AND c2.committedDate =~ '2013-12.*'
RETURN (COUNT(c2) * 100.0 / COUNT(c1)) AS fixingCommitPercentage
",Incorrect relationship modelling,Faulty arithmetic logic
32,Bootstrap,Determine the percentage of the fixing commits that introduced bugs on December 2013?,"I don't know, can I help with anything else?","cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2013-12-.*' AND c2.committedDate =~ '2013-12-.*'
RETURN (COUNT(c1) * 1.0 / COUNT(c2)) * 100 AS fixingCommitPercentage
",Incorrect relationship modelling,Faulty arithmetic logic
3,Bootstrap,Determine the percentage of the fixing commits that introduced bugs on December 2013?,I don't know the percentage of the fixing commits that introduced bugs in December 2013. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate STARTS WITH '2013-12' AND c2.committedDate STARTS WITH '2013-12'
RETURN (COUNT(c2) * 1.0 / COUNT(c1)) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
9,Bootstrap,How many fixing commits caused bugs on December 2013?,There were no fixing commits that caused bugs in December 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE i.created_at =~ '2013-12-.*'
RETURN COUNT(DISTINCT c) AS fixing_commits
",Incorrect relationship modelling,
4,Bootstrap,How many fixing commits caused bugs on December 2013?,There were no fixing commits that caused bugs in December 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(:Issue)-[:introduced]->(:Commit {committedDate: ""2013-12-.*""})
RETURN count(c) AS fixingCommits
",Incorrect relationship modelling,
14,Bootstrap,How many fixing commits caused bugs on December 2013?,There was 1 fixing commit that addressed bugs introduced in December 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(b:Commit)
WHERE b.committedDate =~ '2013-12-.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
23,Bootstrap,How many fixing commits caused bugs on December 2013?,There were no fixing commits that caused bugs in December 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE b.committedDate =~ '2013-12-.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
18,Bootstrap,How many fixing commits caused bugs on December 2013?,There were no fixing commits that caused bugs in December 2013. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(b:Commit)
WHERE b.committedDate =~ '2013-12-.*'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
22,Bootstrap,What are the most buggy files?,"The most buggy files are:

1. `package.json` with 1339 bugs
2. `CONTRIBUTING.md` with 1339 bugs
3. `_functions.scss` with 1339 bugs
4. `_variables.scss` with 1339 bugs
5. `_visually-hidden.scss` with 1339 bugs
6. `carousel.md` with 1339 bugs
7. `accessibility.md` with 1339 bugs
8. `migration.md` with 1339 bugs
9. `dropdowns.md` with 1339 bugs
10. `package-lock.json` with 1339 bugs","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:fixed]->(i:Issue)
RETURN f.name, COUNT(i) AS bug_count
ORDER BY bug_count DESC
LIMIT 10
",Incorrect relationship modelling,
7,Bootstrap,What are the most buggy files?,"The most buggy files are:

1. `bootstrap.css` with 176 bugs.
2. `bootstrap.min.css` with 113 bugs.
3. `bootstrap.js` with 71 bugs.
4. `_variables.scss` with 67 bugs.
5. `bootstrap.min.js` with 65 bugs.
6. `index.html` with 61 bugs.
7. `bootstrap.zip` with 59 bugs.
8. `components.html` with 54 bugs.
9. `forms.less` with 51 bugs.
10. `Gruntfile.js` with 49 bugs.

Can I help with anything else?","cypher
MATCH (f:File)<-[:changed]-(c:Commit)-[:fixed]->(i:Issue)
RETURN f.name, COUNT(i) AS bugCount
ORDER BY bugCount DESC
LIMIT 10
",Incorrect relationship modelling,
10,Bootstrap,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
5,Bootstrap,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
15,Bootstrap,return a commit message on July 31?,"I don't know, can I help with anything else?","cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
19,Bootstrap,return a commit message on July 31?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
1,Bootstrap,return a commit message on July 31?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
17,Bootstrap,"what are the buggy commits that happened on March 12, 2018?","The buggy commits that happened on March 12, 2018, are as follows:

1. Commit ID: 5b0e40b62526f576e5f8a3877a7e63a2ed084685
   - Committed Date: 2018-03-12T17:29:45Z
   - Message: ""Fix examples issues #25664 and #25388 (#25665)\n\n* Prevent sign-in form from going outside viewport (#25388)\r\n\r\n* Workaround IE centering bug""
   - Additions: 3
   - Deletions: 12
   - Changed Files: 4
   - Comments Count: 0","cypher
MATCH (c:Commit)-[:fixed]->(:Issue)
WHERE c.committedDate =~ '2018-03-12T.*'
RETURN c
",Incorrect relationship modelling,
8,Bootstrap,what are the bugs caused by commit f0c82ab4ec8ca136dad1b50bdef7515090be4f14?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit {id: 'f0c82ab4ec8ca136dad1b50bdef7515090be4f14'})-[:introduced]->(i:Issue {type: 'bug'})
RETURN i
",Misapplied attribute filtering,
13,Bootstrap,what are the bugs caused by commit f0c82ab4ec8ca136dad1b50bdef7515090be4f14?,I don't know which bugs were caused by commit f0c82ab4ec8ca136dad1b50bdef7515090be4f14. Can I help with anything else?,"cypher
MATCH (c:Commit {id: 'f0c82ab4ec8ca136dad1b50bdef7515090be4f14'})-[:fixed]->(i:Issue)
RETURN i
",Incorrect relationship modelling,
26,Bootstrap,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is XhmikosR, with 12 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
27,Bootstrap,which developer has most number of bugs yet to be fixed?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
28,Bootstrap,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is XhmikosR, with a total of 10 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
29,Bootstrap,which developer has most number of bugs yet to be fixed?,"The developer with the most number of bugs yet to be fixed is XhmikosR, with 10 open bugs.","cypher
MATCH (u:User)-[:creates]->(i:Issue {state: 'open'})
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
30,Bootstrap,which developer has most number of bugs yet to be fixed?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state = 'open'
RETURN u.name AS developer, COUNT(i) AS open_bugs
ORDER BY open_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
12,Bootstrap,who did most fixed bugs in browser-bugs.yml?,"The user who fixed the most bugs in ""browser-bugs.yml"" is Mark Otto, with a total of 548 fixed bugs.","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:fixed]->(i:Issue),(c)-[:changed]->(f:File {name: ""browser-bugs.yml""})
RETURN u.name AS user, COUNT(i) AS fixed_bugs
ORDER BY fixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
2,Ohmyzsh,Determine the developers that had the most unfixed bugs?,"I don't know, can I help with anything else?","cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.login, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
7,Ohmyzsh,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS Developer, COUNT(i) AS UnfixedBugs
ORDER BY UnfixedBugs DESC
LIMIT 1
",Incorrect relationship modelling,
22,Ohmyzsh,Determine the developers that had the most unfixed bugs?,I don't know the answer to this question. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.login AS developer, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
12,Ohmyzsh,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name AS Developer, COUNT(i) AS UnfixedBugs
ORDER BY UnfixedBugs DESC
LIMIT 1
",Incorrect relationship modelling,
17,Ohmyzsh,Determine the developers that had the most unfixed bugs?,I don't know. Can I help with anything else?,"cypher
MATCH (u:User)-[:author]->(c:Commit)-[:introduced]->(i:Issue)
WHERE i.state <> 'closed'
RETURN u.name, COUNT(i) AS unfixed_bugs
ORDER BY unfixed_bugs DESC
LIMIT 1
",Incorrect relationship modelling,
4,Ohmyzsh,Determine the percentage of the fixing commits that introduced bugs on July 2024?,The percentage of fixing commits that introduced bugs in July 2024 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate STARTS WITH '2024-07' AND c2.committedDate STARTS WITH '2024-07'
WITH COUNT(c1) AS fixingCommits, COUNT(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
24,Ohmyzsh,Determine the percentage of the fixing commits that introduced bugs on July 2024?,The percentage of the fixing commits that introduced bugs in July 2024 is 100.0%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2024-07-..T..:..:..Z' AND c2.committedDate =~ '2024-07-..T..:..:..Z'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Misapplied date formatting
9,Ohmyzsh,Determine the percentage of the fixing commits that introduced bugs on July 2024?,The percentage of the fixing commits that introduced bugs in July 2024 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2024-07-..T..:..:..Z' AND c2.committedDate =~ '2024-07-..T..:..:..Z'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Misapplied date formatting
14,Ohmyzsh,Determine the percentage of the fixing commits that introduced bugs on July 2024?,The percentage of the fixing commits that introduced bugs in July 2024 is 100%.,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2024-07.*' AND c2.committedDate =~ '2024-07.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
19,Ohmyzsh,Determine the percentage of the fixing commits that introduced bugs on July 2024?,The percentage of the fixing commits that introduced bugs in July 2024 is 100.0%. Can I help with anything else?,"cypher
MATCH (c1:Commit)-[:fixed]->(i:Issue)<-[:introduced]-(c2:Commit)
WHERE c1.committedDate =~ '2024-07-.*' AND c2.committedDate =~ '2024-07-.*'
WITH count(c1) AS fixingCommits, count(c2) AS introducingCommits
RETURN (toFloat(fixingCommits) / introducingCommits) * 100 AS percentage
",Incorrect relationship modelling,Faulty arithmetic logic
15,Ohmyzsh,How many fixing commits caused bugs on July 2024?,There were no fixing commits that caused bugs in July 2024. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(bug:Issue)
WHERE c.committedDate =~ '2024-07-..T..:..:..Z'
RETURN COUNT(c) AS fixingCommitsCausingBugs
",Incorrect relationship modelling,
25,Ohmyzsh,How many fixing commits caused bugs on July 2024?,"In July 2024, there were 7 fixing commits that caused bugs.","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2024-07-..T..:..:..Z' AND i.state = 'closed'
RETURN COUNT(c) AS fixingCommits
",Incorrect relationship modelling,
5,Ohmyzsh,How many fixing commits caused bugs on July 2024?,There were no fixing commits that caused bugs in July 2024. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(bug:Issue)
WHERE c.committedDate =~ '2024-07.*'
RETURN COUNT(c) AS fixingCommitsCausingBugs
",Incorrect relationship modelling,
10,Ohmyzsh,How many fixing commits caused bugs on July 2024?,"In July 2024, there were 4 fixing commits that caused bugs.","cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)
WHERE c.committedDate =~ '2024-07-..T..:..:..Z' AND i.created_at =~ '2024-07-..T..:..:..Z'
RETURN COUNT(c) AS fixingCommitsCausedBugs
",Incorrect relationship modelling,Misapplied date formatting
20,Ohmyzsh,How many fixing commits caused bugs on July 2024?,No fixing commits caused bugs in July 2024. Can I help with anything else?,"cypher
MATCH (c:Commit)-[:fixed]->(i:Issue)-[:introduced]->(bug:Issue)
WHERE c.committedDate =~ '2024-07-..T..:..:..Z'
RETURN COUNT(c) AS fixingCommitsCausedBugs
",Incorrect relationship modelling,Misapplied date formatting
21,Ohmyzsh,return a commit message on July 31?,I don't know. Can I help with anything else?,"cypher
MATCH (c:Commit)
WHERE c.committedDate =~ '2024-07-31T.*'
RETURN c.message
",Invalid assumptions,
